,von_datum,bis_datum,stationshoehe_x,geobreite_x,geolaenge_x,stationsname,Landkreis
195,2004-05-01,2020-04-27,76.0,12.0094,51.7511,Köthen (Anhalt),Anhalt-Bitterfeld
196,2006-07-01,2020-04-27,742.0,11.0805,47.6652,"Kohlgrub, Bad (Rosshof)",Garmisch-Partenkirchen
197,1971-01-01,2020-04-27,443.0,9.19,47.6774,Konstanz,Konstanz
198,2005-11-01,2020-04-27,312.0,11.3209,50.2523,Kronach,Kronach
199,2002-01-01,2020-04-27,417.0,11.9016,49.4283,Kümmersbruck,Amberg-Sulzbach
200,1989-01-01,2020-04-27,40.0,12.4093,52.9363,Kyritz,Ostprignitz-Ruppin
201,2002-01-01,2020-04-27,40.0,12.279,53.9156,Laage (Flugplatz),Rostock
202,1995-01-01,2020-04-27,156.0,7.828,48.3647,Lahr,Ortenaukreis
203,1975-06-01,2020-04-27,685.0,9.7645,48.5121,Merklingen,Alb-Donau-Kreis
204,1966-01-01,2018-07-10,621.0,10.9144,48.0772,Landsberg (Flugplatz),Landsberg am Lech
205,2004-07-01,2020-04-27,91.0,13.0878,51.9173,Langenlipsdorf,Teltow-Fläming
206,2017-08-01,2020-04-27,118.0,11.8788,51.391,"Lauchstädt, Bad",Saalekreis
207,2002-01-01,2020-04-27,539.0,9.9097,48.2176,Laupheim,Biberach
208,2002-01-01,2020-04-27,550.0,10.8507,48.1849,Lechfeld,Augsburg
209,1994-04-01,2020-04-26,7.0,8.9514,54.7903,Leck,Nordfriesland
210,1956-01-01,2020-04-27,356.0,10.3123,51.3933,Leinefelde,Eichsfeld
211,1951-01-01,2020-04-27,138.0,12.4462,51.3151,Leipzig-Holzhausen,Leipzig
212,1972-05-01,2020-04-27,131.0,12.2396,51.4348,Leipzig/Halle,Nordsachsen
213,2006-10-01,2020-04-27,286.0,8.0348,51.1333,Lennestadt-Theten,Olpe
214,2004-06-01,2020-04-27,20.0,11.4864,53.1007,Lenzen/Elbe,Prignitz
215,2007-04-01,2020-04-27,852.0,8.2308,47.8597,Lenzkirch-Ruhbühl,Breisgau-Hochschwarzwald
216,2002-01-01,2020-04-21,31.0,10.2737,54.4996,Leuchtturm Kiel,
217,2008-12-01,2020-04-27,43.0,6.9777,50.9894,Köln-Stammheim,Köln
218,1991-11-01,2020-04-27,321.0,14.2093,50.9383,Lichtenhain-Mittelndorf,Sächsische Schweiz-Osterzgebirge
219,1951-01-01,2020-04-27,98.0,14.118,52.2085,Lindenberg,Oder-Spree
220,1951-01-01,2020-04-27,22.0,7.3081,52.5181,Lingen,Emsland
221,1971-04-01,2020-04-27,157.0,8.8388,51.7855,"Lippspringe, Bad",Paderborn
222,2004-07-01,2020-04-27,92.0,8.3945,51.6336,Lippstadt-Bökenförde,Soest
223,1949-01-01,2020-04-27,25.0,8.4125,55.011,List auf Sylt,Nordfriesland
224,2007-01-01,2020-04-27,500.0,11.635,50.4505,"Lobenstein, Bad",Saale-Orla-Kreis
225,2008-06-01,2020-04-27,230.0,8.2386,50.5617,Löhnberg-Obershausen,Limburg-Weilburg
226,2007-07-01,2018-06-01,22.0,7.7472,52.7198,Löningen,Cloppenburg
227,2005-01-01,2020-04-27,57.0,13.8797,51.9267,Lübben-Blumenfelde,Dahme-Spreewald
228,1985-03-01,2020-04-27,15.0,10.6989,53.8025,Lübeck-Blankensee,Lübeck
229,1954-12-01,2019-12-26,16.0,11.1374,52.9724,Lüchow,Lüchow-Dannenberg
230,1994-01-01,2020-04-27,387.0,7.6425,51.2452,Lüdenscheid,Märkischer Kreis
231,1955-01-01,2020-04-27,76.0,11.5827,52.1029,Magdeburg,Magdeburg
232,2008-05-01,2020-04-27,195.0,8.2139,49.9656,Mainz-Lerchenberg (ZDF),Mainz
